-1.78963,1.53602,-0.409803
-1.82447,2.28196,-0.613547
-1.88518,2.18789,-1.08605
-1.81804,1.49342,-1.05496
-1.86696,2.64216,-0.801964
-1.9192,2.58424,-1.07449
-1.69544,2.78382,-0.673542
-1.82491,2.58131,-1.27428
-1.5997,2.5028,-0.173225
-1.25841,2.70786,0.160747
-1.3369,2.86,-0.485594
-0.868385,2.86558,0.372497
-0.921974,2.92373,-0.315972
-1.06477,2.43905,-1.61276
-1.54529,2.4935,-1.48817
-0.472892,2.09321,-2.58095
-0.990124,2.12039,-2.51043
-0.530859,2.41691,-1.6527
-0.433376,1.46372,-2.58116
-0.009549,2.08273,-2.57299
-0.009064,1.46502,-2.53713
-0.405981,0.743712,-2.51467
-0.812157,0.757406,-2.45698
-0.879512,1.48336,-2.53048
-0.007889,0.746625,-2.5035
-0.006582,0.115987,-2.76948
-0.416053,0.110997,-2.73619
-0.819597,0.096356,-2.58983
-1.35485,1.50999,-2.23985
-1.54585,2.17533,-2.19006
-1.23881,0.778356,-2.20887
0.531189,2.4169,-1.65272
0.47301,2.09321,-2.58093
-0.007891,2.41651,-1.64377
1.0649,2.43905,-1.61276
0.990182,2.12039,-2.51041
0.482173,2.9597,-0.209114
0.922178,2.92371,-0.316034
-0.007926,2.97767,-0.150061
-0.481567,2.95972,-0.209051
0.433425,1.46369,-2.58114
0.879547,1.4833,-2.53047
0.405975,0.743694,-2.51468
0.81217,0.757354,-2.45698
-1.82611,2.17717,-1.64865
-1.67553,1.50716,-1.66767
-0.993733,2.40839,0.87029
-1.28932,2.17999,0.482748
-0.456334,2.643,0.853894
-0.447705,2.99795,0.49056
-0.001576,2.70437,0.870197
0.003087,3.03282,0.531959
0.448278,2.9979,0.490496
0.456641,2.64298,0.853875
-0.450747,2.58466,1.38701
-0.007097,2.65499,1.39209
-0.401868,2.64651,1.92456
-0.006439,2.69061,1.94298
0.450862,2.58465,1.38697
0.401904,2.64653,1.92438
-0.005688,2.56903,2.35729
-0.345261,2.5489,2.33199
-0.775109,2.47008,1.87152
-0.633156,2.40818,2.23241
-0.900741,2.40186,1.41145
-1.40164,2.03049,1.11375
-1.2557,2.13193,1.45787
-1.45753,1.70384,1.22496
-1.31694,1.84392,1.48937
-1.07489,2.18825,1.80432
-0.874326,2.16983,2.11084
-1.16876,1.95408,1.74261
-1.01075,1.9698,1.96457
-1.43771,1.37072,1.3291
-1.60044,1.52615,0.926237
-1.57191,1.17487,1.04475
-1.29016,1.55131,1.57335
-1.47897,0.968783,1.45218
-1.31562,1.13914,1.663
-1.60906,0.780971,1.18353
-1.57326,1.8464,0.764342
-1.76226,1.30704,0.612948
-1.72958,0.968772,0.735354
-1.75771,1.60011,0.414449
-1.52559,1.92469,0.101783
-1.87258,1.25921,0.0376
-1.84657,0.727453,-0.634305
-1.91451,0.849997,-0.257613
-2.10527,0.44696,-0.601865
-2.20537,0.516063,-0.464989
-1.91277,0.125677,-0.904029
-2.24549,0.149215,-0.819861
-2.08785,-0.378342,-0.96004
-2.34928,-0.366277,-0.907264
-1.8614,-0.575613,-1.30377
-1.93957,-0.924624,-0.665814
-2.06135,-0.794841,-0.649153
-1.88962,-1.19061,-0.666943
-1.80632,-1.17756,-1.4214
-1.87781,-1.17793,0.086648
-1.83484,-1.59735,-0.666255
-1.83966,-1.55842,0.126968
-1.90762,-0.892601,0.045947
-1.82067,-1.08095,0.73712
-1.86448,-0.767849,0.63638
-1.89476,-0.434456,0.607195
-1.95279,-0.60985,0.028861
-1.73416,-0.917743,1.19761
-1.78695,-0.647488,1.08498
-1.72569,-1.47078,0.926434
-1.66104,-1.15086,1.40288
-1.86418,-0.345109,1.04975
-1.68424,-0.556641,1.41399
-1.7531,-0.326019,1.39608
-1.64619,-0.766299,1.51313
-1.9225,-0.150957,0.207569
-1.89109,-0.036202,0.595878
-2.0058,-0.242614,-0.136302
-1.9308,0.23619,0.185573
-1.93252,0.097928,-0.127435
-1.87677,0.381947,0.519589
-2.1484,-0.66384,-0.243845
-2.19333,-0.803824,-0.667643
-1.66338,-2.07404,-1.35255
-1.75672,-2.02826,-0.669203
-1.74762,-1.65027,-1.42674
-1.4039,-2.54481,-1.41689
-1.58862,-2.36925,-1.21253
-1.44591,-2.18121,-1.80824
-1.42262,-2.71773,-0.73283
-1.63452,-2.40555,-0.675719
-1.1143,-2.96966,-0.806726
-1.11394,-2.9349,0.061271
-1.4265,-2.68082,0.046583
-1.08632,-2.72792,-1.6062
-1.64663,-2.36482,0.050337
-1.10689,-2.30414,-2.11456
-1.52337,-1.71626,-1.98899
-1.1624,-1.79673,-2.37264
-1.59047,-1.19285,-2.03905
-1.60952,-0.556417,-1.97446
-1.23884,-0.584569,-2.43564
-1.218,-1.24363,-2.47053
-1.57787,0.123527,-1.83532
-1.21421,0.09751,-2.28671
-1.78738,0.136613,-1.30642
-1.77102,-1.97899,0.088561
-1.66368,-1.93381,0.755056
-1.49928,-1.95607,1.21415
-1.52622,-1.6166,1.44092
-1.27438,-2.03854,1.52865
-1.27159,-1.69891,1.78887
-1.46086,-2.18665,1.05809
-1.29571,-2.3171,1.20882
-1.55024,-2.26225,0.685954
-2.39419,-0.366826,-0.747452
-2.31999,0.125812,-0.637455
-2.19739,-0.332095,-0.451413
-2.34402,-0.706367,-0.624871
-2.17413,-0.660266,-0.484318
-2.02425,0.09318,-0.433746
-2.12633,0.479458,-0.267041
-2.04522,0.415157,-0.112122
-1.96483,0.592577,0.099464
-1.98177,0.799691,-0.051209
-1.90652,1.05694,0.274821
-1.87568,0.761083,0.411913
-1.77314,0.783925,-1.15598
-1.59997,0.793304,-1.72071
-0.754909,0.90003,2.35341
-0.63625,0.641218,2.41939
-0.5275,0.700915,2.52066
-0.568476,0.866443,2.50889
-0.537245,0.610444,2.56197
-0.627796,0.546977,2.49618
-0.399059,0.565662,2.60359
-0.377552,0.70132,2.61845
-0.391997,0.844509,2.63237
-0.593059,1.04255,2.53538
-0.440799,0.969112,2.66165
-0.621142,1.18521,2.56493
-0.487512,1.11239,2.69867
-0.73287,1.35711,2.43674
-0.731144,1.25645,2.44499
-0.621387,1.31158,2.55504
-0.840518,1.45441,2.27567
-0.864813,1.38531,2.28124
-0.736935,1.12771,2.40751
-0.911256,1.30076,2.24064
-0.959895,1.17415,2.15764
-1.02508,1.47724,2.02686
-0.958956,1.52173,2.12652
-0.894298,1.5416,2.18297
-0.860895,1.54148,2.19957
-0.829423,1.56489,2.23112
-0.838076,1.62758,2.20536
-0.819157,1.49538,2.26956
-0.743774,1.43911,2.3727
-0.78794,1.5494,2.33946
-0.780006,1.65702,2.3329
-0.614414,1.40825,2.49545
-0.488545,1.25952,2.67152
-0.46492,1.39107,2.60522
-0.270557,1.07193,2.81973
-0.278232,1.22976,2.77861
-0.235145,0.941441,2.76962
-0.262673,1.37678,2.69917
-0.521052,1.50231,2.6702
-0.306017,1.52955,2.81566
-0.013843,1.54361,2.84451
